2.2812 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.6091 	EXP 	Fixation: autoDraw = False
63.6091 	EXP 	grating: autoDraw = True
63.9089 	EXP 	grating: autoDraw = False
64.1307 	EXP 	New trial (rep=24, index=0): None
64.1339 	DATA 	Keypress: up
64.1424 	EXP 	Fixation: autoDraw = False
64.1424 	EXP 	grating: autoDraw = False
64.1424 	EXP 	grating: ori = 0.0
64.1424 	EXP 	Fixation: autoDraw = True
65.1423 	EXP 	Fixation: autoDraw = False
65.1423 	EXP 	grating: autoDraw = True
65.4422 	EXP 	grating: autoDraw = False
65.7121 	DATA 	Keypress: up
65.7305 	EXP 	New trial (rep=25, index=0): None
65.7424 	EXP 	Fixation: autoDraw = False
65.7424 	EXP 	grating: autoDraw = False
65.7424 	EXP 	grating: ori = -2.0
65.7424 	EXP 	Fixation: autoDraw = True
66.7423 	EXP 	Fixation: autoDraw = False
66.7423 	EXP 	grating: autoDraw = True
67.0424 	EXP 	grating: autoDraw = False
67.4965 	EXP 	New trial (rep=26, index=0): None
67.4994 	DATA 	Keypress: down
67.5086 	EXP 	Fixation: autoDraw = False
67.5086 	EXP 	grating: autoDraw = False
67.5086 	EXP 	grating: ori = 0.0
67.5086 	EXP 	Fixation: autoDraw = True
68.5083 	EXP 	Fixation: autoDraw = False
68.5083 	EXP 	grating: autoDraw = True
68.8083 	EXP 	grating: autoDraw = False
69.2636 	EXP 	New trial (rep=27, index=0): None
69.2671 	DATA 	Keypress: down
69.2755 	EXP 	Fixation: autoDraw = False
69.2755 	EXP 	grating: autoDraw = False
69.2755 	EXP 	grating: ori = -4.0
69.2755 	EXP 	Fixation: autoDraw = True
70.2752 	EXP 	Fixation: autoDraw = False
70.2752 	EXP 	grating: autoDraw = True
70.5749 	EXP 	grating: autoDraw = False
70.7466 	EXP 	New trial (rep=28, index=0): None
70.7497 	DATA 	Keypress: down
70.7584 	EXP 	Fixation: autoDraw = False
70.7584 	EXP 	grating: autoDraw = False
70.7584 	EXP 	grating: ori = 0.0
70.7584 	EXP 	Fixation: autoDraw = True
71.7579 	EXP 	Fixation: autoDraw = False
71.7579 	EXP 	grating: autoDraw = True
72.0578 	EXP 	grating: autoDraw = False
72.3961 	EXP 	New trial (rep=29, index=0): None
72.3992 	DATA 	Keypress: up
72.4078 	EXP 	Fixation: autoDraw = False
72.4078 	EXP 	grating: autoDraw = False
72.4078 	EXP 	grating: ori = 0.0
72.4078 	EXP 	Fixation: autoDraw = True
73.4076 	EXP 	Fixation: autoDraw = False
73.4076 	EXP 	grating: autoDraw = True
73.7080 	EXP 	grating: autoDraw = False
73.9791 	EXP 	New trial (rep=30, index=0): None
73.9820 	DATA 	Keypress: up
73.9913 	EXP 	Fixation: autoDraw = False
73.9913 	EXP 	grating: autoDraw = False
73.9913 	EXP 	grating: ori = 0.0
73.9913 	EXP 	Fixation: autoDraw = True
74.9909 	EXP 	Fixation: autoDraw = False
74.9909 	EXP 	grating: autoDraw = True
75.2910 	EXP 	grating: autoDraw = False
75.4467 	EXP 	New trial (rep=31, index=0): None
75.4499 	DATA 	Keypress: up
75.4579 	EXP 	Fixation: autoDraw = False
75.4579 	EXP 	grating: autoDraw = False
75.4579 	EXP 	grating: ori = -4.0
75.4579 	EXP 	Fixation: autoDraw = True
76.4576 	EXP 	Fixation: autoDraw = False
76.4576 	EXP 	grating: autoDraw = True
76.7579 	EXP 	grating: autoDraw = False
77.0958 	EXP 	New trial (rep=32, index=0): None
77.0992 	DATA 	Keypress: down
77.1076 	EXP 	Fixation: autoDraw = False
77.1076 	EXP 	grating: autoDraw = False
77.1076 	EXP 	grating: ori = 2.0
77.1076 	EXP 	Fixation: autoDraw = True
78.1073 	EXP 	Fixation: autoDraw = False
78.1073 	EXP 	grating: autoDraw = True
78.4070 	EXP 	grating: autoDraw = False
78.6788 	EXP 	New trial (rep=33, index=0): None
78.6823 	DATA 	Keypress: down
78.6908 	EXP 	Fixation: autoDraw = False
78.6908 	EXP 	grating: autoDraw = False
78.6908 	EXP 	grating: ori = 2.0
78.6908 	EXP 	Fixation: autoDraw = True
79.6903 	EXP 	Fixation: autoDraw = False
79.6903 	EXP 	grating: autoDraw = True
79.9904 	EXP 	grating: autoDraw = False
80.2621 	EXP 	New trial (rep=34, index=0): None
80.2652 	DATA 	Keypress: down
80.2739 	EXP 	Fixation: autoDraw = False
80.2739 	EXP 	grating: autoDraw = False
80.2739 	EXP 	grating: ori = 0.0
80.2739 	EXP 	Fixation: autoDraw = True
81.2736 	EXP 	Fixation: autoDraw = False
81.2736 	EXP 	grating: autoDraw = True
81.5734 	EXP 	grating: autoDraw = False
81.7963 	EXP 	New trial (rep=35, index=0): None
81.7994 	DATA 	Keypress: up
81.8069 	EXP 	Fixation: autoDraw = False
81.8069 	EXP 	grating: autoDraw = False
81.8069 	EXP 	grating: ori = 0.0
81.8069 	EXP 	Fixation: autoDraw = True
82.8065 	EXP 	Fixation: autoDraw = False
82.8065 	EXP 	grating: autoDraw = True
83.1068 	EXP 	grating: autoDraw = False
83.4283 	EXP 	New trial (rep=36, index=0): None
83.4313 	DATA 	Keypress: up
83.4401 	EXP 	Fixation: autoDraw = False
83.4401 	EXP 	grating: autoDraw = False
83.4401 	EXP 	grating: ori = -4.0
83.4401 	EXP 	Fixation: autoDraw = True
84.4400 	EXP 	Fixation: autoDraw = False
84.4400 	EXP 	grating: autoDraw = True
84.7398 	EXP 	grating: autoDraw = False
84.9447 	EXP 	New trial (rep=37, index=0): None
84.9478 	DATA 	Keypress: down
84.9566 	EXP 	Fixation: autoDraw = False
84.9566 	EXP 	grating: autoDraw = False
84.9566 	EXP 	grating: ori = 4.0
84.9566 	EXP 	Fixation: autoDraw = True
85.9560 	EXP 	Fixation: autoDraw = False
85.9560 	EXP 	grating: autoDraw = True
86.2562 	EXP 	grating: autoDraw = False
86.5110 	EXP 	New trial (rep=38, index=0): None
86.5144 	DATA 	Keypress: down
86.5231 	EXP 	Fixation: autoDraw = False
86.5231 	EXP 	grating: autoDraw = False
86.5231 	EXP 	grating: ori = 0.0
86.5231 	EXP 	Fixation: autoDraw = True
87.5231 	EXP 	Fixation: autoDraw = False
87.5231 	EXP 	grating: autoDraw = True
87.8228 	EXP 	grating: autoDraw = False
88.4275 	EXP 	New trial (rep=39, index=0): None
88.4305 	DATA 	Keypress: up
88.4397 	EXP 	Fixation: autoDraw = False
88.4397 	EXP 	grating: autoDraw = False
88.4397 	EXP 	grating: ori = 0.0
88.4397 	EXP 	Fixation: autoDraw = True
89.4392 	EXP 	Fixation: autoDraw = False
89.4392 	EXP 	grating: autoDraw = True
89.7391 	EXP 	grating: autoDraw = False
90.0444 	EXP 	New trial (rep=40, index=0): None
90.0476 	DATA 	Keypress: up
90.0562 	EXP 	Fixation: autoDraw = False
90.0562 	EXP 	grating: autoDraw = False
90.0562 	EXP 	grating: ori = 0.0
90.0562 	EXP 	Fixation: autoDraw = True
91.0556 	EXP 	Fixation: autoDraw = False
91.0556 	EXP 	grating: autoDraw = True
91.3557 	EXP 	grating: autoDraw = False
91.7607 	EXP 	New trial (rep=41, index=0): None
91.7642 	DATA 	Keypress: up
91.7720 	EXP 	Fixation: autoDraw = False
91.7720 	EXP 	grating: autoDraw = False
91.7720 	EXP 	grating: ori = 0.0
91.7720 	EXP 	Fixation: autoDraw = True
92.7722 	EXP 	Fixation: autoDraw = False
92.7722 	EXP 	grating: autoDraw = True
93.0724 	EXP 	grating: autoDraw = False
93.4272 	EXP 	New trial (rep=42, index=0): None
93.4305 	DATA 	Keypress: up
93.4386 	EXP 	Fixation: autoDraw = False
93.4386 	EXP 	grating: autoDraw = False
93.4386 	EXP 	grating: ori = 0.0
93.4386 	EXP 	Fixation: autoDraw = True
94.4388 	EXP 	Fixation: autoDraw = False
94.4388 	EXP 	grating: autoDraw = True
94.7385 	EXP 	grating: autoDraw = False
95.0938 	EXP 	New trial (rep=43, index=0): None
95.0974 	DATA 	Keypress: up
95.1052 	EXP 	Fixation: autoDraw = False
95.1052 	EXP 	grating: autoDraw = False
95.1052 	EXP 	grating: ori = 1.0
95.1052 	EXP 	Fixation: autoDraw = True
96.1048 	EXP 	Fixation: autoDraw = False
96.1048 	EXP 	grating: autoDraw = True
96.4052 	EXP 	grating: autoDraw = False
97.0931 	EXP 	New trial (rep=44, index=0): None
97.0963 	DATA 	Keypress: down
97.1051 	EXP 	Fixation: autoDraw = False
97.1051 	EXP 	grating: autoDraw = False
97.1051 	EXP 	grating: ori = -5.0
97.1051 	EXP 	Fixation: autoDraw = True
98.1048 	EXP 	Fixation: autoDraw = False
98.1048 	EXP 	grating: autoDraw = True
98.4050 	EXP 	grating: autoDraw = False
98.7601 	EXP 	New trial (rep=45, index=0): None
98.7634 	DATA 	Keypress: down
98.7716 	EXP 	Fixation: autoDraw = False
98.7716 	EXP 	grating: autoDraw = False
98.7716 	EXP 	grating: ori = 0.0
98.7716 	EXP 	Fixation: autoDraw = True
99.7715 	EXP 	Fixation: autoDraw = False
99.7715 	EXP 	grating: autoDraw = True
100.0713 	EXP 	grating: autoDraw = False
100.5763 	EXP 	New trial (rep=46, index=0): None
100.5794 	DATA 	Keypress: up
100.5878 	EXP 	Fixation: autoDraw = False
100.5878 	EXP 	grating: autoDraw = False
100.5878 	EXP 	grating: ori = 4.0
100.5878 	EXP 	Fixation: autoDraw = True
101.5877 	EXP 	Fixation: autoDraw = False
101.5877 	EXP 	grating: autoDraw = True
101.8878 	EXP 	grating: autoDraw = False
102.1930 	EXP 	New trial (rep=47, index=0): None
102.1963 	DATA 	Keypress: down
102.2046 	EXP 	Fixation: autoDraw = False
102.2046 	EXP 	grating: autoDraw = False
102.2046 	EXP 	grating: ori = -3.0
102.2046 	EXP 	Fixation: autoDraw = True
103.2040 	EXP 	Fixation: autoDraw = False
103.2040 	EXP 	grating: autoDraw = True
103.5038 	EXP 	grating: autoDraw = False
103.7931 	EXP 	New trial (rep=48, index=0): None
103.7960 	DATA 	Keypress: down
103.8043 	EXP 	Fixation: autoDraw = False
103.8043 	EXP 	grating: autoDraw = False
103.8043 	EXP 	grating: ori = 0.0
103.8043 	EXP 	Fixation: autoDraw = True
104.8041 	EXP 	Fixation: autoDraw = False
104.8041 	EXP 	grating: autoDraw = True
105.1038 	EXP 	grating: autoDraw = False
105.5421 	EXP 	New trial (rep=49, index=0): None
105.5454 	DATA 	Keypress: up
105.5537 	EXP 	Fixation: autoDraw = False
105.5537 	EXP 	grating: autoDraw = False
105.5537 	EXP 	grating: ori = -2.0
105.5537 	EXP 	Fixation: autoDraw = True
106.5536 	EXP 	Fixation: autoDraw = False
106.5536 	EXP 	grating: autoDraw = True
106.8536 	EXP 	grating: autoDraw = False
107.1796 	EXP 	New trial (rep=50, index=0): None
107.1813 	DATA 	Keypress: down
107.1834 	EXP 	Fixation: autoDraw = False
107.1834 	EXP 	grating: autoDraw = False
107.1834 	EXP 	grating: ori = 0.0
107.1834 	EXP 	Fixation: autoDraw = True
108.1870 	EXP 	Fixation: autoDraw = False
108.1870 	EXP 	grating: autoDraw = True
108.4870 	EXP 	grating: autoDraw = False
109.0902 	DATA 	Keypress: up
109.1077 	EXP 	New trial (rep=51, index=0): None
109.1201 	EXP 	Fixation: autoDraw = False
109.1201 	EXP 	grating: autoDraw = False
109.1201 	EXP 	grating: ori = 0.0
109.1201 	EXP 	Fixation: autoDraw = True
110.1200 	EXP 	Fixation: autoDraw = False
110.1200 	EXP 	grating: autoDraw = True
110.4197 	EXP 	grating: autoDraw = False
110.7913 	EXP 	New trial (rep=52, index=0): None
110.7943 	DATA 	Keypress: up
110.8033 	EXP 	Fixation: autoDraw = False
110.8033 	EXP 	grating: autoDraw = False
110.8033 	EXP 	grating: ori = 3.0
110.8033 	EXP 	Fixation: autoDraw = True
111.8032 	EXP 	Fixation: autoDraw = False
111.8032 	EXP 	grating: autoDraw = True
112.1031 	EXP 	grating: autoDraw = False
112.4078 	EXP 	New trial (rep=53, index=0): None
112.4108 	DATA 	Keypress: down
112.4198 	EXP 	Fixation: autoDraw = False
112.4198 	EXP 	grating: autoDraw = False
112.4198 	EXP 	grating: ori = 1.0
112.4198 	EXP 	Fixation: autoDraw = True
113.4198 	EXP 	Fixation: autoDraw = False
113.4198 	EXP 	grating: autoDraw = True
113.7192 	EXP 	grating: autoDraw = False
114.0749 	EXP 	New trial (rep=54, index=0): None
114.0779 	DATA 	Keypress: up
114.0863 	EXP 	Fixation: autoDraw = False
114.0863 	EXP 	grating: autoDraw = False
114.0863 	EXP 	grating: ori = 3.0
114.0863 	EXP 	Fixation: autoDraw = True
115.0861 	EXP 	Fixation: autoDraw = False
115.0861 	EXP 	grating: autoDraw = True
115.3861 	EXP 	grating: autoDraw = False
115.7743 	EXP 	New trial (rep=55, index=0): None
115.7775 	DATA 	Keypress: down
115.7864 	EXP 	Fixation: autoDraw = False
115.7864 	EXP 	grating: autoDraw = False
